ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
002623.SZ,ัวย๊ถู,2011-11-02,33.29,32.8583,33.9081,32.1029,33.7217,3418117,114612188.6,0.4317,1.2968,33.5308,10.6816,1099840000,N/A,5499200000,32000000,0,160000000,25.2044,17.5518,9.2397,71.4643,
002623.SZ,ัวย๊ถู,2011-11-03,33.7217,33.7217,34.5851,33.7217,33.7512,4116004,143459298,0.0294,0.0873,34.854,12.8625,1100800000,N/A,5504000000,32000000,0,160000000,25.2264,17.5672,9.2477,71.5267,
002623.SZ,ัวย๊ถู,2011-11-04,33.7512,33.8395,34.8304,33.7021,34.33,3534210,123838313.7,0.5789,1.7151,35.0399,11.0444,1119680000,N/A,5598400000,32000000,0,160000000,25.6591,17.8685,9.4063,72.7534,
002623.SZ,ัวย๊ถู,2011-11-07,34.33,33.9474,34.3104,33.5549,33.5746,2145293,73929268.8,-0.7555,-2.2006,34.4612,6.704,1095040000,N/A,5475200000,32000000,0,160000000,25.0944,17.4752,9.1993,71.1524,
002623.SZ,ัวย๊ถู,2011-11-08,33.5746,33.6629,34.124,33.4764,33.5746,1960764,67520808,0,0,34.436,6.1274,1095040000,N/A,5475200000,32000000,0,160000000,25.0944,17.4752,9.1993,71.1524,
002623.SZ,ัวย๊ถู,2011-11-09,33.5746,33.5844,33.9768,33.0938,33.7414,1909324,65264236.2,0.1668,0.4968,34.1819,5.9666,1100480000,N/A,5502400000,32000000,0,160000000,25.2191,17.5621,9.2451,71.5059,
002623.SZ,ัวย๊ถู,2011-11-10,33.7414,33.3489,33.5451,32.7602,32.77,2000513,67553350.3,-0.9713,-2.8787,33.768,6.2516,1068800000,N/A,5344000000,32000000,0,160000000,24.4931,17.0565,8.9789,69.4474,
002623.SZ,ัวย๊ถู,2011-11-11,32.77,32.6425,33.0251,32.2795,32.2991,1381645,46013118.1,-0.4709,-1.4371,33.3031,4.3176,1053440000,N/A,5267200000,32000000,0,160000000,24.1411,16.8114,8.8499,68.4494,
002623.SZ,ัวย๊ถู,2011-11-14,32.2991,32.8681,33.6334,32.5247,33.2802,1795726,60635519.8,0.9811,3.0377,33.7666,5.6116,1085440000,N/A,5427200000,32000000,0,160000000,24.8744,17.322,9.1187,70.5286,
002623.SZ,ัวย๊ถู,2011-11-15,33.2802,33.1625,33.6825,33.0742,33.5059,1482922,50610245.2,0.2257,0.6781,34.1287,4.6341,1092800000,N/A,5464000000,32000000,0,160000000,25.0431,17.4395,9.1805,71.0069,
002623.SZ,ัวย๊ถู,2011-11-16,33.5059,33.7512,34.4576,33.2214,33.2802,3219346,111289533.4,-0.2257,-0.6735,34.569,10.0605,1085440000,N/A,5427200000,32000000,0,160000000,24.8744,17.322,9.1187,70.5286,
002623.SZ,ัวย๊ถู,2011-11-17,33.2802,33.2704,34.5066,33.1723,34.0455,3352751,116405963.5,0.7653,2.2995,34.7195,10.4773,1110400000,N/A,5552000000,32000000,0,160000000,25.4464,17.7204,9.3284,72.1505,
002623.SZ,ัวย๊ถู,2011-11-18,34.0455,33.7217,34.5557,33.6531,34.438,3961407,138530203.2,0.3925,1.1527,34.9699,12.3794,1123200000,N/A,5616000000,32000000,0,160000000,25.7398,17.9246,9.4359,72.9822,
002623.SZ,ัวย๊ถู,2011-11-21,34.438,34.3202,34.6146,32.5738,32.9663,2791180,94811469.3,-1.4717,-4.2735,33.9682,8.7224,1075200000,N/A,5376000000,32000000,0,160000000,24.6398,17.1586,9.0327,69.8633,
002623.SZ,ัวย๊ถู,2011-11-22,32.9663,32.2795,32.8289,32.0636,32.5444,1373800,45370364.5,-0.4219,-1.2798,33.0255,4.2931,1061440000,N/A,5307200000,32000000,0,160000000,24.3245,16.939,8.9171,68.9692,
002623.SZ,ัวย๊ถู,2011-11-23,32.5444,32.8681,34.3202,32.6719,33.7708,3121674,107343763.2,1.2264,3.7685,34.3866,9.7552,1101440000,N/A,5507200000,32000000,0,160000000,25.2411,17.5774,9.2531,71.5683,
002623.SZ,ัวย๊ถู,2011-11-24,33.7708,33.3685,34.6146,33.3685,34.3104,3163939,110383288.8,0.5396,1.5979,34.8879,9.8873,1119040000,N/A,5595200000,32000000,0,160000000,25.6444,17.8582,9.401,72.7119,
002623.SZ,ัวย๊ถู,2011-11-25,34.3104,34.3399,35.1542,33.6531,34.124,3103751,109169750.5,-0.1864,-0.5433,35.1735,9.6992,1112960000,N/A,5564800000,32000000,0,160000000,25.5051,17.7612,9.3499,72.3168,
002623.SZ,ัวย๊ถู,2011-11-28,34.124,34.438,35.1051,33.8493,34.958,2716471,95847546.4,0.834,2.4439,35.2838,8.489,1140160000,N/A,5700800000,32000000,0,160000000,26.1284,18.1953,9.5784,74.0842,
002623.SZ,ัวย๊ถู,2011-11-29,34.958,35.321,35.4289,34.3889,34.7029,2526067,89639636.7,-0.2551,-0.7297,35.4859,7.894,1131840000,N/A,5659200000,32000000,0,160000000,25.9378,18.0625,9.5085,73.5436,
002623.SZ,ัวย๊ถู,2011-11-30,34.7029,34.5165,34.5165,32.093,32.3187,2838155,96064492.2,-2.3842,-6.8702,33.8475,8.8692,1054080000,N/A,5270400000,32000000,0,160000000,24.1558,16.8216,8.8552,68.4909,
002623.SZ,ัวย๊ถู,2011-12-01,32.3187,33.7512,33.7512,32.5738,32.5836,2377464,80275842.9,0.2649,0.8197,33.7653,7.4296,1062720000,N/A,5313600000,32000000,0,160000000,24.3538,16.9595,8.9278,69.0523,
002623.SZ,ัวย๊ถู,2011-12-02,32.5836,32.564,32.564,31.1904,31.2296,1706331,54803818.3,-1.354,-4.1554,32.1179,5.3323,1018560000,N/A,5092800000,32000000,0,160000000,23.3418,16.2547,8.5568,66.183,
002623.SZ,ัวย๊ถู,2011-12-05,31.2296,31.1904,31.2198,29.6206,29.65,1639653,50248059.8,-1.5796,-5.0581,30.6455,5.1239,967040000,N/A,4835200000,32000000,0,160000000,22.1611,15.4325,8.124,62.8354,
002623.SZ,ัวย๊ถู,2011-12-06,29.65,29.4342,30.2485,29.3459,30.0032,909679,27792897.3,0.3532,1.1913,30.5524,2.8427,978560000,N/A,4892800000,32000000,0,160000000,22.4251,15.6164,8.2208,63.5839,
002623.SZ,ัวย๊ถู,2011-12-07,30.0032,29.807,30.5625,29.7776,30.1602,769861,23696715.3,0.157,0.5232,30.7805,2.4058,983680000,N/A,4918400000,32000000,0,160000000,22.5425,15.6981,8.2638,63.9166,
002623.SZ,ัวย๊ถู,2011-12-08,30.1602,29.9247,30.4938,29.1398,30.2485,1338351,40809692.2,0.0883,0.2928,30.4925,4.1823,986560000,N/A,4932800000,32000000,0,160000000,22.6085,15.7441,8.288,64.1037,
002623.SZ,ัวย๊ถู,2011-12-09,30.2485,29.7776,30.1994,29.5323,29.6893,588627,17844818,-0.5592,-1.8488,30.316,1.8395,968320000,N/A,4841600000,32000000,0,160000000,22.1905,15.453,8.1348,62.9185,
002623.SZ,ัวย๊ถู,2011-12-12,29.6893,29.4636,29.8168,29.3459,29.3557,546279,16424472.4,-0.3336,-1.1236,30.0661,1.7071,957440000,N/A,4787200000,32000000,0,160000000,21.9411,15.2793,8.0434,62.2116,
002623.SZ,ัวย๊ถู,2011-12-13,29.3557,29.2379,29.2477,27.776,27.8251,1026413,29699191.3,-1.5306,-5.2139,28.9349,3.2075,907520000,N/A,4537600000,32000000,0,160000000,20.7971,14.4827,7.624,58.9679,
002623.SZ,ัวย๊ถู,2011-12-14,27.8251,28.1587,28.3843,27.3149,27.3738,545106,15489251.9,-0.4513,-1.622,28.4151,1.7035,892800000,N/A,4464000000,32000000,0,160000000,20.4598,14.2478,7.5003,58.0115,
002623.SZ,ัวย๊ถู,2011-12-15,27.3738,27.5111,27.7172,26.8341,27.0794,860332,23876427.3,-0.2943,-1.0753,27.7526,2.6885,883200000,N/A,4416000000,32000000,0,160000000,20.2398,14.0946,7.4197,57.3877,
002623.SZ,ัวย๊ถู,2011-12-16,27.0794,27.207,28.0213,27.0009,27.9624,885270,24782786.5,0.883,3.2609,27.9946,2.7665,912000000,N/A,4560000000,32000000,0,160000000,20.8998,14.5542,7.6616,59.259,
002623.SZ,ัวย๊ถู,2011-12-19,27.9624,27.4817,29.9051,27.3934,29.5323,2276269,66615710.5,1.5698,5.614,29.2653,7.1133,963200000,N/A,4816000000,32000000,0,160000000,22.0731,15.3713,8.0918,62.5858,
002623.SZ,ัวย๊ถู,2011-12-20,29.5323,29.1594,29.5715,28.6002,28.6002,1274074,37638637.3,-0.9321,-3.1561,29.542,3.9815,932800000,N/A,4664000000,32000000,0,160000000,21.3765,14.8861,7.8364,60.6105,
002623.SZ,ัวย๊ถู,2011-12-21,28.6002,28.7375,29.4145,27.7466,27.7466,892528,26146299.6,-0.8536,-2.9846,29.2947,2.7892,904960000,N/A,4524800000,32000000,0,160000000,20.7385,14.4418,7.6025,58.8016,
002623.SZ,ัวย๊ถู,2011-12-22,27.7466,27.4817,27.6877,26.1473,27.4032,989451,27207857.3,-0.3434,-1.2376,27.4979,3.092,893760000,N/A,4468800000,32000000,0,160000000,20.4818,14.2631,7.5084,58.0738,
002623.SZ,ัวย๊ถู,2011-12-23,27.4032,27.2266,27.9232,27.0009,27.2953,560481,15714948.4,-0.1079,-0.3938,28.0383,1.7515,890240000,N/A,4451200000,32000000,0,160000000,20.4012,14.2069,7.4788,57.8451,
002623.SZ,ัวย๊ถู,2011-12-26,27.2953,27.1285,27.8447,26.8832,27.1579,415839,11641279.3,-0.1374,-0.5032,27.9947,1.2995,885760000,N/A,4428800000,32000000,0,160000000,20.2985,14.1354,7.4412,57.554,
002623.SZ,ัวย๊ถู,2011-12-27,27.1579,27.0696,27.2168,25.5194,25.6077,755061,20218252.3,-1.5502,-5.7081,26.777,2.3596,835200000,N/A,4176000000,32000000,0,160000000,19.1398,13.3286,7.0165,54.2688,
002623.SZ,ัวย๊ถู,2011-12-28,25.6077,25.5881,25.9511,24.5579,25.3134,540578,13886700.8,-0.2943,-1.1494,25.6886,1.6893,825600000,N/A,4128000000,32000000,0,160000000,18.9198,13.1754,6.9358,53.645,
002623.SZ,ัวย๊ถู,2011-12-29,25.3134,25.0485,25.6666,24.5285,25.0681,388468,10057800.5,-0.2453,-0.969,25.8909,1.214,817600000,N/A,4088000000,32000000,0,160000000,18.7365,13.0477,6.8686,53.1252,
002623.SZ,ัวย๊ถู,2011-12-30,25.0681,25.3624,25.6666,25.1466,25.5096,481109,12481495.3,0.4415,1.7613,25.9432,1.5035,832000000,N/A,4160000000,32000000,0,160000000,19.0665,13.2775,6.9896,54.0609,
002623.SZ,ัวย๊ถู,2012-01-04,25.5096,25.7255,25.8628,24.3322,24.4009,484482,12437440.3,-1.1087,-4.3462,25.6716,1.514,795840000,N/A,3979200000,32000000,0,160000000,18.6398,1.9941,6.8748,3.1855,
002623.SZ,ัวย๊ถู,2012-01-05,24.4009,24.136,24.3617,22.4681,22.6251,967250,22994194.2,-1.7759,-7.2778,23.7728,3.0227,737920000,N/A,3689600000,32000000,0,160000000,17.2832,1.849,6.3744,2.9537,
002623.SZ,ัวย๊ถู,2012-01-06,22.6251,22.6545,23.4002,22.4877,23.4002,616762,14409594.7,0.7751,3.4258,23.3633,1.9274,763200000,N/A,3816000000,32000000,0,160000000,17.8753,1.9123,6.5928,3.0549,
002623.SZ,ัวย๊ถู,2012-01-09,23.4002,23.253,24.607,22.9586,24.5677,710635,17432074.4,1.1676,4.9895,24.5303,2.2207,801280000,N/A,4006400000,32000000,0,160000000,18.7672,2.0077,6.9218,3.2073,
002623.SZ,ัวย๊ถู,2012-01-10,24.5677,24.6953,25.4605,24.342,25.2741,1401734,35642945.3,0.7064,2.8754,25.4278,4.3804,824320000,N/A,4121600000,32000000,0,160000000,19.3068,2.0655,7.1208,3.2995,
002623.SZ,ัวย๊ถู,2012-01-11,25.2741,25.2055,25.3919,24.9013,25.2055,1144362,29283738.3,-0.0687,-0.2717,25.5896,3.5761,822080000,N/A,4110400000,32000000,0,160000000,19.2544,2.0599,7.1014,3.2905,
002623.SZ,ัวย๊ถู,2012-01-12,25.2055,25.1073,25.9217,24.9798,25.1662,1227142,31917682.8,-0.0392,-0.1557,26.0098,3.8348,820800000,N/A,4104000000,32000000,0,160000000,19.2244,2.0567,7.0904,3.2854,
002623.SZ,ัวย๊ถู,2012-01-13,25.1662,25.5096,25.5096,22.6545,22.7134,4526568,106552928.5,-2.4528,-9.7466,23.5395,11.3164,926000000,N/A,3704000000,40000000,0,160000000,17.3507,1.8562,6.3993,2.9652,
002623.SZ,ัวย๊ถู,2012-01-16,22.7134,22.2522,22.4975,21.6734,21.7813,1301227,29312868,-0.9321,-4.1037,22.5271,3.2531,888000000,N/A,3552000000,40000000,0,160000000,16.6387,1.78,6.1367,2.8435,
002623.SZ,ัวย๊ถู,2012-01-17,21.7813,21.8303,23.1941,21.7911,23.096,1297652,29889510.9,1.3147,6.036,23.0335,3.2441,941600000,N/A,3766400000,40000000,0,160000000,17.643,1.8875,6.5071,3.0151,
002623.SZ,ัวย๊ถู,2012-01-18,23.096,23.3413,23.3413,22.1149,22.2718,1271400,29508259,-0.8242,-3.5684,23.2093,3.1785,908000000,N/A,3632000000,40000000,0,160000000,17.0134,1.8201,6.2749,2.9076,
002623.SZ,ัวย๊ถู,2012-01-19,22.2718,22.1247,23.0469,22.0756,22.8213,773224,17888281.5,0.5494,2.467,23.1347,1.9331,930400000,N/A,3721600000,40000000,0,160000000,17.4331,1.865,6.4297,2.9793,
002623.SZ,ัวย๊ถู,2012-01-20,22.8213,22.9488,23.2628,22.8115,23.1745,1102019,25985340.9,0.3532,1.5477,23.5798,2.755,944800000,N/A,3779200000,40000000,0,160000000,17.7029,1.8939,6.5292,3.0254,
002623.SZ,ัวย๊ถู,2012-01-30,23.1745,23.5669,24.8228,23.5669,24.2243,3063220,75779489.3,1.0498,4.5301,24.7385,7.658,987600000,N/A,3950400000,40000000,0,160000000,18.5049,1.9797,6.825,3.1624,
002623.SZ,ัวย๊ถู,2012-01-31,24.2243,23.9103,24.4107,23.773,24.0379,1257635,30724058.2,-0.1864,-0.7695,24.43,3.1441,980000000,N/A,3920000000,40000000,0,160000000,18.3625,1.9644,6.7725,3.1381,
002623.SZ,ัวย๊ถู,2012-02-01,24.0379,24.0183,24.5971,23.8613,24.0183,1133603,28025660.8,-0.0196,-0.0816,24.7226,2.834,979200000,N/A,3916800000,40000000,0,160000000,18.3475,1.9628,6.767,3.1355,
002623.SZ,ัวย๊ถู,2012-02-02,24.0183,24.0968,24.5088,24.0379,24.4892,1132726,28068460.1,0.4709,1.9608,24.7796,2.8318,998400000,N/A,3993600000,40000000,0,160000000,18.7073,2.0013,6.8996,3.197,
002623.SZ,ัวย๊ถู,2012-02-03,24.4892,24.4892,24.9013,24.3519,24.8032,1429769,35839419.4,0.314,1.2821,25.0666,3.5744,1011200000,N/A,4044800000,40000000,0,160000000,18.9471,2.027,6.9881,3.238,
002623.SZ,ัวย๊ถู,2012-02-06,24.8032,24.7443,24.9994,24.2341,24.8032,1571048,39436759.4,0,0,25.1022,3.9276,1011200000,N/A,4044800000,40000000,0,160000000,18.9471,2.027,6.9881,3.238,
002623.SZ,ัวย๊ถู,2012-02-07,24.8032,24.5873,24.5873,23.9594,24.136,1052163,25934731.8,-0.6672,-2.6899,24.649,2.6304,984000000,N/A,3936000000,40000000,0,160000000,18.4374,1.9725,6.8001,3.1509,
002623.SZ,ัวย๊ถู,2012-02-08,24.136,24.136,24.7541,24.0281,24.7541,1234361,30832118,0.6181,2.561,24.9782,3.0859,1009200000,N/A,4036800000,40000000,0,160000000,18.9096,2.023,6.9743,3.2316,
002623.SZ,ัวย๊ถู,2012-02-09,24.7541,24.8032,25.3821,24.6364,24.9602,1855859,47527017,0.206,0.8323,25.6092,4.6396,1017600000,N/A,4070400000,40000000,0,160000000,19.067,2.0398,7.0323,3.2585,
002623.SZ,ัวย๊ถู,2012-02-10,24.9602,25.1171,25.4998,24.9209,25.4605,1811663,46728524.9,0.5004,2.0047,25.7932,4.5292,1038000000,N/A,4152000000,40000000,0,160000000,19.4493,2.0807,7.1733,3.3238,
002623.SZ,ัวย๊ถู,2012-02-13,25.4605,25.3036,26.2455,25.1171,26.0394,2046614,53891130.8,0.5789,2.2736,26.3318,5.1165,1061600000,N/A,4246400000,40000000,0,160000000,19.8914,2.128,7.3364,3.3994,
002623.SZ,ัวย๊ถู,2012-02-14,26.0394,26.0885,26.1375,25.3919,25.7451,1573854,41192720.3,-0.2943,-1.1304,26.1732,3.9346,1049600000,N/A,4198400000,40000000,0,160000000,19.6666,2.104,7.2535,3.361,
002623.SZ,ัวย๊ถู,2012-02-15,25.7451,25.7451,25.9413,25.4115,25.9413,1418280,37200598.4,0.1962,0.7622,26.2294,3.5457,1057600000,N/A,4230400000,40000000,0,160000000,19.8165,2.12,7.3088,3.3866,
002623.SZ,ัวย๊ถู,2012-02-16,25.9413,25.9805,26.6575,25.6862,26.0002,1940616,51890718.6,0.0589,0.2269,26.7393,4.8515,1060000000,N/A,4240000000,40000000,0,160000000,19.8615,2.1248,7.3253,3.3943,
002623.SZ,ัวย๊ถู,2012-02-17,26.0002,26.0002,26.2455,25.5096,25.7941,945234,24827615.5,-0.206,-0.7925,26.2661,2.3631,1051600000,N/A,4206400000,40000000,0,160000000,19.7041,2.108,7.2673,3.3674,
002623.SZ,ัวย๊ถู,2012-02-20,25.7941,26.0983,26.1768,25.5881,25.6077,1437958,37894120,-0.1864,-0.7227,26.3527,3.5949,1044000000,N/A,4176000000,40000000,0,160000000,19.5617,2.0927,7.2148,3.343,
002623.SZ,ัวย๊ถู,2012-02-21,25.6077,25.5783,26.1081,25.3134,26.0983,1296078,34001760.2,0.4906,1.9157,26.2343,3.2402,1064000000,N/A,4256000000,40000000,0,160000000,19.9364,2.1328,7.353,3.4071,
002623.SZ,ัวย๊ถู,2012-02-22,26.0983,26.1375,27.3541,26.1179,27.1579,2856771,78295010,1.0596,4.0602,27.4068,7.1419,1107200000,N/A,4428800000,40000000,0,160000000,20.7459,2.2194,7.6515,3.5454,
002623.SZ,ัวย๊ถู,2012-02-23,27.1579,27.1677,28.3353,26.9813,27.8643,3176340,89453422.4,0.7064,2.6012,28.1624,7.9409,1136000000,N/A,4544000000,40000000,0,160000000,21.2855,2.2772,7.8506,3.6376,
002623.SZ,ัวย๊ถู,2012-02-24,27.8643,27.6877,28.247,27.4326,27.7564,1866476,52632882.5,-0.1079,-0.3873,28.1991,4.6662,1131600000,N/A,4526400000,40000000,0,160000000,21.2031,2.2683,7.8202,3.6236,
002623.SZ,ัวย๊ถู,2012-02-27,27.7564,27.6681,27.9134,27.2658,27.4817,3535973,99460877.3,-0.2747,-0.9897,28.1283,8.8399,1120400000,N/A,4481600000,40000000,0,160000000,20.9932,2.2459,7.7428,3.5877,
002623.SZ,ัวย๊ถู,2012-02-28,27.4817,27.2757,27.364,26.6673,27.2168,2180995,60006927.1,-0.2649,-0.9639,27.5136,5.4525,1109600000,N/A,4438400000,40000000,0,160000000,20.7908,2.2242,7.6681,3.5531,
002623.SZ,ัวย๊ถู,2012-02-29,27.2168,27.0794,27.3836,26.844,26.9421,1085462,30018863.1,-0.2747,-1.0094,27.6554,2.7137,1098400000,N/A,4393600000,40000000,0,160000000,20.581,2.2018,7.5907,3.5172,
002623.SZ,ัวย๊ถู,2012-03-01,26.9421,26.6968,27.2462,26.687,26.9519,892894,24580666.2,0.0098,0.0364,27.5292,2.2322,1098800000,N/A,4395200000,40000000,0,160000000,20.5885,2.2026,7.5935,3.5185,
002623.SZ,ัวย๊ถู,2012-03-02,26.9519,26.9323,27.727,26.7851,27.6583,1875896,52650601,0.7064,2.621,28.0669,4.6897,1127600000,N/A,4510400000,40000000,0,160000000,21.1281,2.2603,7.7925,3.6107,
002623.SZ,ัวย๊ถู,2012-03-05,27.6583,27.6681,28.1881,27.5307,28.0998,2600266,73846048.2,0.4415,1.5963,28.3994,6.5007,1145600000,N/A,4582400000,40000000,0,160000000,21.4654,2.2964,7.9169,3.6684,
002623.SZ,ัวย๊ถู,2012-03-06,28.0998,28.0115,28.0115,27.2855,27.6779,1628569,45899271.9,-0.4219,-1.5014,28.1838,4.0714,1128400000,N/A,4513600000,40000000,0,160000000,21.1431,2.2619,7.798,3.6133,
002623.SZ,ัวย๊ถู,2012-03-07,27.6779,27.2266,27.9624,26.9813,27.8153,1575090,44151385.2,0.1374,0.4963,28.031,3.9377,1134000000,N/A,4536000000,40000000,0,160000000,21.248,2.2731,7.8367,3.6312,
002623.SZ,ัวย๊ถู,2012-03-08,27.8153,27.8545,28.3255,27.57,27.6779,1309625,37256538.9,-0.1374,-0.4938,28.4482,3.2741,1128400000,N/A,4513600000,40000000,0,160000000,21.1431,2.2619,7.798,3.6133,
002623.SZ,ัวย๊ถู,2012-03-09,27.6779,27.727,28.4923,27.727,28.4825,1915927,54990769.1,0.8045,2.9068,28.7019,4.7898,1161200000,N/A,4644800000,40000000,0,160000000,21.7577,2.3277,8.0247,3.7183,
002623.SZ,ัวย๊ถู,2012-03-12,28.4825,28.5609,28.8847,28.1194,28.3843,1513894,43717235.4,-0.0981,-0.3445,28.8773,3.7847,1157200000,N/A,4628800000,40000000,0,160000000,21.6827,2.3197,7.9971,3.7055,
002623.SZ,ัวย๊ถู,2012-03-13,28.3843,28.2764,29.3557,28.2764,29.2379,2387931,70424369.8,0.8536,3.0073,29.4918,5.9698,1192000000,N/A,4768000000,40000000,0,160000000,22.3348,2.3894,8.2376,3.817,
002623.SZ,ัวย๊ถู,2012-03-14,29.2379,29.3655,29.493,27.0598,27.364,3190124,92969350.2,-1.874,-6.4094,29.1429,7.9753,1115600000,N/A,4462400000,40000000,0,160000000,20.9033,2.2363,7.7096,3.5723,
002623.SZ,ัวย๊ถู,2012-03-15,27.364,27.364,27.7662,26.1964,27.256,1715577,47329685.3,-0.1079,-0.3944,27.5882,4.2889,1111200000,N/A,4444800000,40000000,0,160000000,20.8208,2.2274,7.6792,3.5582,
002623.SZ,ัวย๊ถู,2012-03-16,27.256,27.1972,27.7368,26.8832,27.6485,929744,25987796.2,0.3925,1.4399,27.9516,2.3244,1127200000,N/A,4508800000,40000000,0,160000000,21.1206,2.2595,7.7897,3.6095,
002623.SZ,ัวย๊ถู,2012-03-19,27.6485,27.7662,28.247,27.4915,28.2372,1298132,36778532.6,0.5887,2.1292,28.3319,3.2453,1151200000,N/A,4604800000,40000000,0,160000000,21.5703,2.3076,7.9556,3.6863,
002623.SZ,ัวย๊ถู,2012-03-20,28.2372,28.1587,28.1587,27.3345,27.3541,1058687,29789575.7,-0.883,-3.1272,28.1382,2.6467,1115200000,N/A,4460800000,40000000,0,160000000,20.8958,2.2355,7.7068,3.571,
002623.SZ,ัวย๊ถู,2012-03-21,27.3541,27.4915,27.7466,26.5889,27.0402,865946,23998885.8,-0.314,-1.1478,27.7141,2.1649,1102400000,N/A,4409600000,40000000,0,160000000,20.6559,2.2098,7.6184,3.5301,
